duration_ms,track.explicit,key,danceability,energy,loudness,acousticness,instrumentalness,liveness,tempo,time_signature,track.popularity,track.album.release_date,track.name,artist.name
213133,FALSE,1,0.736,0.634,-7.325,0.512,2.06e-6,0.0764,89.985,4,2,2017-06-09,Fruitful Remix,"Fredfades, Ivan Ave, Fresh Daily, JuJu Rogers"
161972,FALSE,1,0.658,0.722,-6.115,0.0932,0,0.124,88.028,4,45,2019-05-21,Black Balloons Reprise,"Flying Lotus, Denzel Curry"
261881,FALSE,11,0.802,0.607,-11.028,0.205,7.48e-4,0.246,96.916,4,65,2018-04-06,It Runs Through Me,"Tom Misch, De La Soul"
279333,TRUE,6,0.89,0.434,-10.607,0.0951,5.69e-4,0.0915,90.033,4,45,2018-01-26,Se Va,"La Gra$a, Granuja, Crudo Means Raw, Zof Ziro, Doble Porcion, Vic Deal"
218080,TRUE,7,0.873,0.586,-5.184,0.191,0,0.0849,92.907,4,52,2009-04-15,"The Look of Love, Pt. 1",Slum Village
198653,FALSE,5,0.774,0.483,-9.085,0.129,0,0.0867,93.27,4,49,2018-10-12,GoodEnough,"blackwave., WESLEYFRANKLIN"
173375,FALSE,1,0.493,0.759,-6.719,0.771,0,0.137,90.366,4,34,2019-07-26,Distractions,"This Is Tomorrow, Glad2Mecha"
253507,TRUE,1,0.798,0.704,-6.693,0.0598,7.21e-5,0.339,95.027,4,36,2017-12-10,Keep It On,The Nonce
236040,TRUE,6,0.746,0.584,-7.01,0.235,0,0.108,138.568,4,45,2018-12-07,Papaya,"Saba, daedaePIVOT"
223523,FALSE,8,0.77,0.882,-4.792,0.194,0,0.316,99.991,4,89,2019-05-31,Never Really Over,Katy Perry
219947,FALSE,6,0.798,0.675,-5.041,0.0912,0,0.0894,101.956,4,94,2019-05-10,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber"
193924,FALSE,7,0.623,0.851,-3.111,0.0228,0,0.12,100.063,4,73,2018-05-03,I'll Be There,Jess Glynne
201072,FALSE,8,0.669,0.801,-5.445,0.268,0,0.0594,109.919,4,81,2019-04-12,Sixteen,Ellie Goulding
200756,FALSE,9,0.485,0.461,-5.646,0.44,0,0.232,87.009,4,69,2019-07-15,Never Seen the Rain,Tones and I
186987,FALSE,1,0.697,0.683,-2.881,0.0372,0,0.137,96.133,4,76,2018-04-19,2002,Anne-Marie
189000,FALSE,8,0.647,0.853,-4.516,0.0615,0,0.062,103.846,4,71,2018-05-10,If You're Over Me,Years & Years
181040,FALSE,1,0.842,0.734,-5.065,0.0427,0,0.106,137.958,4,87,2019-03-01,Sucker,Jonas Brothers
157493,FALSE,5,0.505,0.428,-5.604,0.489,0,0.0977,175.813,4,85,2019-05-23,Easier,5 Seconds of Summer
171437,FALSE,5,0.653,0.709,-3.19,0.0699,0,0.0878,87.01,4,72,2019-05-31,Choir,Guy Sebastian
190280,FALSE,1,0.707,0.674,-5.578,0.0901,0,0.115,95.02,4,67,2018-09-28,123,Jess Glynne
193040,FALSE,0,0.614,0.839,-4.143,0.0291,0,0.112,182.123,4,55,2019-04-26,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie"
183000,FALSE,0,0.795,0.496,-5.883,0.108,0,0.0645,94.01,4,86,2019-06-07,Only Human,Jonas Brothers
182623,TRUE,1,0.574,0.758,-5.029,0.0969,0,0.395,144.111,4,83,2018-10-24,Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee"
211040,TRUE,6,0.673,0.687,-5.295,0.269,0,0.181,96.964,4,75,2019-03-01,Nobody,"Martin Jensen, James Arthur"
224360,FALSE,1,0.524,0.806,-3.447,0.197,0,0.101,115.172,4,75,2019-04-11,Can We Pretend (feat. Cash Cash),"P!nk, Cash Cash"
196188,FALSE,0,0.641,0.537,-5.452,0.0875,9.05e-6,0.115,112.864,4,66,2019-02-13,"Don't Give Up On Me - From ""Five Feet Apart""",Andy Grammer
193377,FALSE,7,0.652,0.897,-4.481,0.293,0,0.0722,114.033,4,76,2018-10-05,Polaroid,"Jonas Blue, Liam Payne, Lennon Stella"
167120,FALSE,0,0.681,0.603,-5.533,0.0105,0,0.159,79.007,4,74,2019-04-05,Cool,Jonas Brothers
197947,FALSE,1,0.575,0.571,-7.906,0.0558,0,0.0912,105.049,4,24,2018-09-18,This Feeling (feat. Kelsea Ballerini),"The Chainsmokers, Kelsea Ballerini"
207030,FALSE,4,0.503,0.741,-5.128,0.579,1.49e-6,0.0712,88.335,3,80,2018-07-18,Happy Now,"Zedd, Elley Duhé"
184080,FALSE,1,0.703,0.748,-6.047,0.123,0,0.0642,111.943,4,24,2018-10-05,No One Compares To You,Jack & Jack
201287,FALSE,5,0.672,0.735,-4.733,0.286,0,0.242,115.741,4,81,2018-03-23,Shotgun,George Ezra
189385,FALSE,7,0.532,0.66,-7.138,0.105,2.22e-4,0.0996,130.013,4,72,2019-05-16,Unbelievable,Why Don't We
183013,FALSE,8,0.606,0.748,-4.508,0.0323,0,0.0588,139.131,4,53,2019-04-12,Sunday,Jessica Mauboy
201253,FALSE,7,0.694,0.852,-5.34,0.0882,0,0.334,107.178,4,76,2018-09-27,Lost In Japan - Remix,"Shawn Mendes, Zedd"
208486,TRUE,5,0.697,0.521,-6.519,0.243,0,0.189,91.998,4,10,2018-02-23,Nothing to Regret,Robinson
197437,FALSE,9,0.752,0.505,-7.621,0.535,2.55e-6,0.104,91.97,4,82,2017-05-19,I Like Me Better,Lauv
225133,TRUE,4,0.6,0.535,-7.043,0.648,4.7e-6,0.162,71.912,4,78,2018-02-23,1950,King Princess
151734,FALSE,1,0.728,0.701,-6.58,0.0945,2.08e-5,0.181,137.97,4,45,2019-07-12,I Found You,Andy Grammer
203418,FALSE,7,0.596,0.854,-5.114,0.0169,0,0.124,120.274,4,77,2018-04-12,Youngblood,5 Seconds of Summer
161963,FALSE,5,0.846,0.631,-5.547,0.203,0,0.455,115.999,4,84,2019-08-09,Small Talk,Katy Perry
190137,FALSE,6,0.621,0.709,-5.31,0.0137,0,0.142,93.004,4,42,2018-05-25,Not About You,Glades
194898,FALSE,10,0.647,0.754,-5.446,0.015,0,0.0684,97.005,4,67,2018-10-12,Day Drunk,Morgan Evans
190960,FALSE,9,0.759,0.54,-6.039,0.037,0,0.0945,116.947,4,100,2019-06-21,Señorita,"Shawn Mendes, Camila Cabello"
221307,FALSE,7,0.359,0.543,-7.582,0.492,1.58e-5,0.118,68.534,4,87,2019-08-16,Lover,Taylor Swift
150014,FALSE,2,0.651,0.774,-5.246,0.0849,0,0.102,104.896,4,48,2018-10-26,One Last Time,"Tyron Hapi, Lucas Marx"
208214,FALSE,5,0.656,0.514,-5.27,0.0914,0,0.058,120.073,4,13,2018-04-27,Brooklyn In The Summer,Aloe Blacc
207905,FALSE,6,0.601,0.724,-4.856,0.0945,1.68e-6,0.12,102.061,4,80,2018-05-10,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez
193613,TRUE,7,0.703,0.868,-4.661,0.15,0.132,0.104,121.03,4,70,2017-03-03,Pretty Girl - Cheat Codes X CADE Remix,"Maggie Lindemann, CADE, Cheat Codes"
190947,FALSE,5,0.579,0.904,-2.729,0.193,0,0.064,82.014,4,86,2018-06-22,High Hopes,Panic! At The Disco
228112,FALSE,6,0.665,0.799,-2.868,0.18,0,0.125,101.976,4,78,2019-06-21,All the Time,Zara Larsson
208297,FALSE,0,0.608,0.835,-4.509,0.0172,6.28e-5,0.157,144.862,4,48,2018-03-02,Golden Age,Fergus James
214747,FALSE,8,0.628,0.869,-4.339,0.497,0,0.169,99.97,4,58,2018-02-23,Saturday Sun,Vance Joy
188824,TRUE,7,0.756,0.675,-6.479,0.00767,9.09e-4,0.0535,98.092,4,56,2019-01-25,Karma,Robinson
197113,FALSE,5,0.496,0.793,-6.122,0.00954,0,0.325,191.928,4,63,2018-08-24,Been There Done That (feat. Tove Styrke),"NOTD, Tove Styrke"
175898,FALSE,0,0.779,0.42,-8.396,0.665,0,0.0862,105.076,4,69,2019-06-28,Hate How Much I Love You,Conor Maynard
157424,FALSE,6,0.749,0.732,-6.538,0.146,0,0.0967,124.995,4,49,2018-06-08,Only Us,Drax Project
205160,FALSE,7,0.712,0.536,-6.543,0.193,0,0.361,93.961,4,49,2018-02-08,Futon Couch,Missy Higgins
159753,FALSE,5,0.906,0.832,-3.004,0.0909,0,0.152,104.03,4,58,2019-07-12,Harder,"Jax Jones, Bebe Rexha"
